idSeller	idSellerProduct	brandSeller	nameSeller	descriptionSeller	eanSeller	categorySeller
41	51302	Hewlett Packard	Ra&269;unalnik HP 8100EL SFF i5-650 320 W7/XP WJ986EA	&amp;lt;b&amp;gt; OS: Win XP Pro prednalo&158;en (Win 7 licenca) 32 bit&amp;lt;/b&amp;gt;&amp;lt;br&amp;gt;&amp;lt;b&amp;gt; CPU: Intel Core i5-650 2C, 3.2 GHz, 4 MB SC&amp;lt;/b&amp;gt;&amp;lt;br&amp;gt;&amp;lt;b&amp;gt; RAM: 2 GB DDR3; HDD: 320GB 7200rpm; DVD+/-RW DL&amp;lt;/b&amp;gt;&amp;lt;br&amp;gt;OHI&352; JE: namizno (SFF), napajalnik 240W 89%&amp;lt;br&amp;gt;VGA: integrirana Â Intel HD do 1024 MB&amp;lt;br&amp;gt;Povezave: 1000 Mb/s mre&158;na kartica&amp;lt;br&amp;gt;&amp;lt;b&amp;gt; Garancija: 3/3/3 leta&amp;lt;/b&amp;gt;&amp;lt;br&amp;gt;&amp;lt;b&amp;gt; ostali podatki:&amp;lt;/b&amp;gt;&amp;lt;br&amp;gt;nabor vezja: Intel Q57 Express&amp;lt;br&amp;gt;procesor podpira:&amp;lt;br&amp;gt;vPro&trade; in Hyper-Threading tehnologijo&amp;lt;br&amp;gt;&353;t.re&158; pomnilnika: 4x, 2 x prosto; max: 16 GB&amp;lt;br&amp;gt;RAID 1 - varovanje podatkov&amp;lt;br&amp;gt;prilo&158;ena HP SLO PS/2 tipkovnica in opt.mi&353;ka&amp;lt;br&amp;gt;zvo&269;na kartica: integrirana HD Audio&amp;lt;br&amp;gt;raz&353;iritvene re&158;e:&amp;lt;br&amp;gt;2 x PCI Express x16&amp;lt;br&amp;gt;1 x PCI Express x1, 1 x PCI 2.3&amp;lt;br&amp;gt;&amp;lt;b&amp;gt; opomba PCI: kartice ni&158;je vi&353;ine 2.5&amp;quot;&amp;lt;/b&amp;gt;&amp;lt;br&amp;gt;vhodi izhodi:&amp;lt;br&amp;gt;&amp;lt;b&amp;gt; 1x DisplayPort, 1x VGA&amp;lt;/b&amp;gt;&amp;lt;br&amp;gt;10 x USB 2.0 (4 x spre.,6 x zad.,)&amp;lt;br&amp;gt;&amp;lt;b&amp;gt; 1x serijski, NI paralelnega porta&amp;lt;/b&amp;gt;&amp;lt;br&amp;gt;2x PS/2, 1x RJ-45, 1x audio in/out, 1x mikrofon&amp;lt;br&amp;gt;dimenzija v mm 100 (V) x 338 (&352; ) x 378.5 (G)&amp;lt;br&amp;gt;te&158;a 7.6 kg&amp;lt;br&amp;gt;		
53	44907	Gorenje	Gorenje nrk621cli hladilnik 	<p>Gorenje nrk621cli kombiniran hladilnik ponuja 339 litrov skupne prostornine in zaznamuje ga NoFrost Plus tehnologija, ki učinkovito preprečuje nabiranje ledu v zamrzovalnem delu. Pohvali se z MultiFlow 360 stopinj tehnologijo, ki skrbi za aktivno uravnavanja prezračevanja, vlage in temperature na način, ki kar najbolj ustreza sveži hrani v hladilniku.</p>	3838942078316	Prva stran - Vsi oddelki - Gospodinjski aparati - BELA TEHNIKA
98	hladilnik-beko-tse1282-tnc	NULL	Hladilnik Beko TSE1282 TNC	<p>Hladilnik Beko TSE1282 TNC <div> <b> Šifra izdelka: BB464218 <br> Hladilnik Beko TSE1282 TNC Beko TSE1282 prostostoječi hladilnik spada med varčne aparate energijskega razreda A+. Primeren je za manjše kuhinje, čajne kuhinje v pisarni in v počitniških	NULL	EnaA \ Bela tehnika \ Hladilniki \ Mini hladilniki
98	prostostojec-hladilnik-z-zamrzovalnikom-bosch-ktl15nw3a	NULL	Prostostoječ hladilnik z zamrzovalnikom Bosch KTL15NW3A	<p>Prostostoječ hladilnik z zamrzovalnikom Bosch KTL15NW3A <div> <b> Šifra izdelka: bsh4242005135530 <br> <b>Popularnost med podobnimi ponudbami: 23. mesto <br> <b>Ocena: 5 na podlagi 1 ocene <i>star_rate <i>star_rate <i>star_rate <i>star_rate <i>star_rat	NULL	EnaA \ Bela tehnika \ Hladilniki \ Mini hladilniki
98	vgradni-podpultni-hladilnik-zanussi-zua12420sa	NULL	Vgradni podpultni hladilnik Zanussi ZUA12420SA	<p>Vgradni podpultni hladilnik Zanussi ZUA12420SA <div> <b> Šifra izdelka: EX7332543182855 <br> <b>Popularnost med podobnimi ponudbami: 16. mesto <br> Vgradni podpultni hladilnik Zanussi ZUA12420SA<br> <br> Podpultni hladilnik Zanussi ZUA12420SA s prostor	NULL	EnaA \ Bela tehnika \ Hladilniki \ Mini hladilniki
98	hladilnik-vox-ks-1460	NULL	Hladilnik Vox KS 1460	<p>Hladilnik Vox KS 1460 <div> <b> Šifra izdelka: PA101221 <br> <b>Popularnost med podobnimi ponudbami: 1. mesto <br> <b>Ocena: 5 na podlagi 8 ocen <i>star_rate <i>star_rate <i>star_rate <i>star_rate <i>star_rate Hladilnik VOX KS 1460 VOX Electornics pred	NULL	EnaA \ Bela tehnika \ Hladilniki \ Mini hladilniki
98	hladilnik-samsung-rb33j3230bcef	NULL	Hladilnik Samsung RB33J3230BC/EF	NULL	NULL	EnaA \ Bela tehnika \ Hladilniki \ Prostostoječi hladilniki
98	hladilnik-samsung-rb33j3215ssef	NULL	Hladilnik Samsung RB33J3215SS/EF	NULL	NULL	EnaA \ Bela tehnika \ Hladilniki \ Prostostoječi hladilniki
98	hladilnik-beko-ts190320-tnc	NULL	Hladilnik Beko TS190320 TNC	<p>Hladilnik Beko TS190320 TNC <div> <b> Šifra izdelka: BB488772 <br> <b>Popularnost med podobnimi ponudbami: 7. mesto <br> <b>Ocena: 5 na podlagi 4 ocen <i>star_rate <i>star_rate <i>star_rate <i>star_rate <i>star_rate Hladilnik Beko TS190320 TNC Samodejn	NULL	EnaA \ Bela tehnika \ Hladilniki \ Prostostoječi hladilniki
98	hladilnik-beko-rcne520e41zx	NULL	Hladilnik Beko RCNE520E41ZX	NULL	NULL	EnaA \ Bela tehnika \ Hladilniki \ Prostostoječi hladilniki
98	hladilnik-z-zamrzovalnikom-grundig-gkn16820fx	NULL	Hladilnik z zamrzovalnikom Grundig GKN16820FX	NULL	NULL	EnaA \ Bela tehnika \ Hladilniki \ Prostostoječi hladilniki
98	hladilnik-z-zamrzovalnikom-grundig-gkn16225x	NULL	Hladilnik z zamrzovalnikom GRUNDIG GKN16225X	NULL	NULL	EnaA \ Bela tehnika \ Hladilniki \ Prostostoječi hladilniki
98	hladilnik-beko-rcha300k20w	NULL	Hladilnik Beko RCHA300K20W	<p>Hladilnik Beko RCHž00K20W <div> <b> Šifra izdelka: BB609905 <br> Kombinirani hladilnik Beko RCHž00K20W z zamrzovalnikom spodaj se ponaša s štirimi steklenimi policami v hladilnem in tremi predali v zamrzovalnem delu. <p>No Frost in samodejno odtaljevan	NULL	EnaA \ Bela tehnika \ Hladilniki \ Prostostoječi hladilniki
98	hladilnik-beko-rdsa180k20w	NULL	Hladilnik Beko RDSA180K20W	<p>Hladilnik Beko RDSA180K20W <div> <b> Šifra izdelka: BB610568 <br> <b>Ocena: 5 na podlagi 1 ocene <i>star_rate <i>star_rate <i>star_rate <i>star_rate <i>star_rate Prostostoječi hladilnik Beko RDSA180K20W z zamrzovalnikom zgoraj se ponaša s samodejnim od	NULL	EnaA \ Bela tehnika \ Hladilniki \ Prostostoječi hladilniki
98	hladilnik-bosch-kgn36ij3a	NULL	Hladilnik Bosch KGN36IJ3A	NULL	NULL	EnaA \ Bela tehnika \ Hladilniki \ Prostostoječi hladilniki
98	hladilnik-vox-ks-2110	NULL	Hladilnik Vox KS 2110	<div> <div><p>Hladilnik Vox KS 2110</p> </div> <div> <b> Šifra izdelka:</b> PA101222 <br> </div> </div> <p> <p><p>VOX Electornics predstavlja hladilnik KS 2110, ki deluje v energijskem razredu A+ in se ponaša z 201 kWh porabe električne energije na leto.	NULL	EnaA \ Bela tehnika \ Hladilniki \ Prostostoječi hladilniki
98	hladilnik-vox-ks-2510	NULL	Hladilnik VOX KS 2510	<div> <div><p>Hladilnik VOX KS 2510</p> </div> <div> <b> Šifra izdelka:</b> PA101308 <br> </div> </div> <p> <p><br><br>- Energijski razred: A+<br> - Prostornina hladilnega dela: 210 l<br> - Prostornina zamrzovalnega dela: 15 l<br> - Mehansko uravnavanje t	NULL	EnaA \ Bela tehnika \ Hladilniki \ Prostostoječi hladilniki
98	hladilnik-vox-nf-3890-ix	NULL	Hladilnik Vox NF 3890 IX	<div> <div><p>Hladilnik Vox NF 3890 IX</p> </div> <div> <b> Šifra izdelka:</b> PA101311 <br> <b>Ocena:</b> 5 na podlagi 1 ocene <i>star_rate</i> <i>star_rate</i> <i>star_rate</i> <i>star_rate</i> <i>star_rate</i> </div> </div> <p> <p><p>Tehnične lastnosti	NULL	EnaA \ Bela tehnika \ Hladilniki \ Prostostoječi hladilniki
98	hladilnik-vox-kg-2610	NULL	Hladilnik Vox KG 2610	<div> <div><p>Hladilnik Vox KG 2610</p> </div> <div> <b> Šifra izdelka:</b> PA101444 <br> </div> </div> <p> <p><p>Prostostoječi kombinirani hladilnik VOX Electronics KG 2610 se ponaša z energetskim razredom A+. Prostornina njegovega hladilnega dela znaša	NULL	EnaA \ Bela tehnika \ Hladilniki \ Prostostoječi hladilniki
98	hladilnik-vox-kg-2610s	NULL	Hladilnik Vox KG 2610S	<p>Hladilnik Vox KG 2610S <div> <b> Šifra izdelka: pa102369 <br> <b>Ocena: 5 na podlagi 3 ocen <i>star_rate <i>star_rate <i>star_rate <i>star_rate <i>star_rate Prostostoječi kombinirani hladilnik VOX Electronics KG 2610 se ponaša z energetskim razredom A+	NULL	EnaA \ Bela tehnika \ Hladilniki \ Prostostoječi hladilniki
98	hladilnik-vox-kg-2600-s	NULL	Hladilnik Vox KG 2600 S	<div> <div><p>Hladilnik Vox KG 2600 S</p> </div> <div> <b> Šifra izdelka:</b> pa103244 <br> <b>Popularnost med podobnimi ponudbami:</b> 21. mesto <br> <b>Ocena:</b> 5 na podlagi 3 ocen <i>star_rate</i> <i>star_rate</i> <i>star_rate</i> <i>star_rate</i> <i	NULL	EnaA \ Bela tehnika \ Hladilniki \ Prostostoječi hladilniki
98	hladilnik-vox-kg-2600	NULL	Hladilnik Vox KG 2600	<div> <div><p>Hladilnik Vox KG 2600</p> </div> <div> <b> Šifra izdelka:</b> pa103298 <br> </div> </div> <p> <p><p>Prostostoječi kombinirani hladilnik Vox KG 2600 po energijski učinkovitosti spada v razred A+. Ponuja 187 litrov prostora v hladilniku in 40	NULL	EnaA \ Bela tehnika \ Hladilniki \ Prostostoječi hladilniki
98	hladilnik-vox-ks-2800s	NULL	Hladilnik Vox KS 2800S	<p>Hladilnik Vox KS 2800S <div> <b> Šifra izdelka: PA103299 <br> <b>Ocena: 5 na podlagi 1 ocene <i>star_rate <i>star_rate <i>star_rate <i>star_rate <i>star_rate Hladilnik VOX KS 2800S Prostostoječi hladilnik VOX spada v energetski razred A, torej je njego	NULL	EnaA \ Bela tehnika \ Hladilniki \ Prostostoječi hladilniki
98	vgradni-hladilnik-beko-b1752hca	NULL	Vgradni hladilnik Beko B1752HCA	<p>Vgradni hladilnik Beko B1752HCA <div> <b> Šifra izdelka: BB498307 <br> Vgradni hladilnik Beko B1752HCA Vgradni hladilnik B1752HCA s prostornino 110 litrov odlikuje zamrzovanje s 4 zvezdicami in prilagodljive police za optimalno uporabo prostora za shra	NULL	EnaA \ Bela tehnika \ Hladilniki \ Vgradni hladilniki
98	vgradni-hladilnik-beko-bcn13000	NULL	Vgradni hladilnik Beko BCN13000	NULL	NULL	EnaA \ Bela tehnika \ Hladilniki \ Vgradni hladilniki
98	vgradni-hladilnik-bosch-kir24v60	NULL	Vgradni hladilnik Bosch KIR24V60	NULL	NULL	EnaA \ Bela tehnika \ Hladilniki \ Vgradni hladilniki
98	vgradni-hladilnik-bosch-kil24v60	NULL	Vgradni hladilnik Bosch KIL24V60	NULL	NULL	EnaA \ Bela tehnika \ Hladilniki \ Vgradni hladilniki
98	vgradni-hladilnik-bosch-kil18v60	NULL	Vgradni hladilnik Bosch KIL18V60	NULL	NULL	EnaA \ Bela tehnika \ Hladilniki \ Vgradni hladilniki
98	vgradni-hladilnik-bosch-kir81af30	NULL	Vgradni hladilnik Bosch KIR81AF30	NULL	NULL	EnaA \ Bela tehnika \ Hladilniki \ Vgradni hladilniki
98	vgradni-hladilnik-bosch-kil82af30	NULL	Vgradni hladilnik Bosch KIL82AF30	NULL	NULL	EnaA \ Bela tehnika \ Hladilniki \ Vgradni hladilniki
98	vgradni-hladilnik-bosch-kir81vs30	NULL	Vgradni hladilnik Bosch KIR81VS30	NULL	NULL	EnaA \ Bela tehnika \ Hladilniki \ Vgradni hladilniki
98	vgradni-podpultni-hladilnik-electrolux-ern1200fow	NULL	Vgradni podpultni hladilnik Electrolux ERN1200FOW	<p>Vgradni podpultni hladilnik Electrolux ERN1200FOW <div> <b> Šifra izdelka: EX7332543175536 <br> <b>Ocena: 5 na podlagi 1 ocene <i>star_rate <i>star_rate <i>star_rate <i>star_rate <i>star_rate Ta v hladilnik vgrajeni predelek s 4 zvezdicami je idealen p	NULL	EnaA \ Bela tehnika \ Hladilniki \ Vgradni hladilniki
98	vgradni-hladilnik-electrolux-enn2811bow	NULL	Vgradni hladilnik Electrolux ENN2811BOW	NULL	NULL	EnaA \ Bela tehnika \ Hladilniki \ Vgradni hladilniki
98	vgradni-hladilnik-zanussi-zba22421sa	NULL	Vgradni hladilnik Zanussi ZBA22421SA	NULL	NULL	EnaA \ Bela tehnika \ Hladilniki \ Vgradni hladilniki
98	vgradni-hladilnik-vox-ikg-2600	NULL	Vgradni hladilnik VOX IKG 2600	<div> <div><p>Vgradni hladilnik VOX IKG 2600</p> </div> <div> <b> Šifra izdelka:</b> PA102351 <br> </div> </div> <p> <p><br><br>- energijski razred: A+<br> - prostornina hladilnika: 187 l<br> - prostornina zamrzovalnika: 40<br> - LED osvetlitev<br> - anti	NULL	EnaA \ Bela tehnika \ Hladilniki \ Vgradni hladilniki
98	ameriski-hladilnik-samsung-rs68n8240b1ef	NULL	Ameriški hladilnik Samsung RS68N8240B1/EF	<p>Ameriški hladilnik Samsung RS68N8240B1/EF <div> <b> Šifra izdelka: avt140109 <br> <b>Popularnost med podobnimi ponudbami: 1. mesto <br> <b>Ocena: 5 na podlagi 3 ocen <i>star_rate <i>star_rate <i>star_rate <i>star_rate <i>star_rate Samsung RS8000 hladil	NULL	EnaA \ Bela tehnika \ Hladilniki \ Ameriški hladilniki
98	hladilnik-beko-gn163130zgb	NULL	Hladilnik Beko GN163130ZGB	NULL	NULL	EnaA \ Bela tehnika \ Hladilniki \ Ameriški hladilniki
98	ameriski-hladilnik-electrolux-eal6240aou	NULL	Ameriški hladilnik Electrolux EAL6240AOU	NULL	NULL	EnaA \ Bela tehnika \ Hladilniki \ Ameriški hladilniki
98	ameriski-hladilnik-lg-gsj761pzxv	NULL	Ameriški hladilnik LG GSJ761PZXV	NULL	NULL	EnaA \ Bela tehnika \ Hladilniki \ Ameriški hladilniki
101	hladilnik-rcne520e41zx-hladilnik-beko	BEKO	Hladilnik RCNE520E41ZX HLADILNIK BEKO	NULL	NULL	Gospodinjski aparati \ Bela tehnika \ Hladilniki
107	18603	BOSCH	BOSCH Hladilnik KIL24V51	Shranjevanje ob izpadu el energijeOb izpadu električne energije, bodo vaša živila ostala uporabna še 12 h. Seveda pri tem ne smemo odpirati vrat hladilnika ali zamrzovalnika.Zmogljivost zamrzovanja Z vklopom hitrega zamrzovanja, boste lahko naenkrat zamrznili 2.00 kg/24h svežih živil.Samodejno odtaljevanje hladilnega delaHladilnega dela ni potrebno odtaljevati. Na zadnji steni se nabira ivje, ki se spremeni v vodo in odteka iz aparata. Voda izhlapi v prostor.Škarjasti tečajVgradni aparati so lahko opremljeni s škarjastim tečajem, pri katerem se dekorativna vrata namestijo na aparat brez drsnih elementov.<br />	4242002534121	Hladilnik
107	18976	BEKO	BEKO Hladilnik TSE1282	<br /><br />Hladilnik BEKO TSE1282<br /><br />Za dodatno higieno živil pa poskrbijo antibakterijska tesnila vrat, katera preprečujejo nastanek bakterij.<br /><br /><br /><br />Posebnosti<br /><br /><br /><br />Samodejno odtajevanje hladilnega dela<br /><br />Odtajevanje hladilnega dela ni več potrebno, saj vse poteka samodejno. Ivje se spremeni v vodo in odteka iz aparata ter izhlapi v prostor.<br /><br />Zmogljivost zamrzovanja<br /><br />V 24 urah ima zamrzovalnik, ki je izdelan iz vzdržljivih materialov, možnost zamrzniti 2 kg svežih živil.<br /><br />Antibakterijska za&scaron;čita<br /><br />Na vrata so name&scaron;čena antibakterijska tesnila, ki &scaron;čitijo pred &scaron;iritvijo &scaron;kodljivih mikrobov in bakterij ter tako podalj&scaron;uje svežino va&scaron;ih živil.<br /><br />Shranjevanje ob izpadu električne energije<br /><br />Tudi če pride do izpada električne energije, bodo va&scaron;a živila ostala uporabna &scaron;e 10 ur.<br /><br /><br /><br /><br />Ključna značilnost<br /><br />Antibakterijska tesnila preprečujejo vdor bakterij in onemogočajo nastanek plesni v hladilniku.<br /><br />	8690842312984	Hladilnik
