idSeller	idSellerProduct	brandSeller	nameSeller	descriptionSeller	eanSeller	categorySeller
98	pralni-stroj-bosch-wab24166sn	NULL	Pralni stroj Bosch WAB24166SN	NULL	NULL	EnaA \ Bela tehnika \ Pralni stroji \ Pralni stroji s sprednjim polnjenjem
98	pralni-stroj-samsung-ww5500-add-wash-ww70k5210ux	NULL	Pralni stroj Samsung WW5500  Add Wash (WW70K5210UX)	NULL	NULL	EnaA \ Bela tehnika \ Pralni stroji \ Pralni stroji s sprednjim polnjenjem
98	pralni-stroj-samsung-ww80k5410uw-add-wash	NULL	Pralni stroj Samsung WW80K5410UW  Add Wash	<p>Pralni stroj Samsung WW80K5410UW &quot; Add Wash&quot; <div> <b> Šifra izdelka: AVT130795 <br> <b>Ocena: 5 na podlagi 1 ocene <i>star_rate <i>star_rate <i>star_rate <i>star_rate <i>star_rate Odprite inovativna vrata AddWash™, da na hitro dodate kakšno	NULL	EnaA \ Bela tehnika \ Pralni stroji \ Pralni stroji s sprednjim polnjenjem
98	pralni-stroj-samsung-ww90k44305wle	NULL	Pralni stroj Samsung WW90K44305W/LE	NULL	NULL	EnaA \ Bela tehnika \ Pralni stroji \ Pralni stroji s sprednjim polnjenjem
98	pralni-stroj-samsung-quickdrive-ww70m644opwle-add-wash-7kg	NULL	Pralni stroj Samsung QuickDrive WW70M644OPW/LE Add Wash 7kg	<p>Pralni stroj Samsung QuickDrive WW70M644OPW/LE Add Wash 7kg <div> <b> Šifra izdelka: AVT139540 <br> NOVO REVOLUCIONARNA TEHNOLOGIJA Q DRIVE prihranek časa in energije do 50%<br> Energijski razred: A+++ (-30%)<br> Kapaciteta pranja: 7kg<br> Največja hit	NULL	EnaA \ Bela tehnika \ Pralni stroji \ Pralni stroji s sprednjim polnjenjem
98	pralni-stroj-samsung-ww90m741noale	NULL	Pralni stroj Samsung WW90M741NOA/LE	NULL	NULL	EnaA \ Bela tehnika \ Pralni stroji \ Pralni stroji s sprednjim polnjenjem
98	pralni-stroj-electrolux-ew6s406w	NULL	Pralni stroj Electrolux EW6S406W	<p>Pralni stroj Electrolux EW6S406W <div> <b> Šifra izdelka: avt144365 <br> PerfectCare 600, s sistemom SensiCare, prilagodi dolžino programa količini perila ter ob tem porabi manj energije in vode, kar preprečuje, da bi se perilo predolgo pralo. Tako so	NULL	EnaA \ Bela tehnika \ Pralni stroji \ Pralni stroji s sprednjim polnjenjem
98	pralni-stroj-electrolux-ew6f527w-60cm12k7kg	NULL	Pralni stroj ELECTROLUX EW6F527W 60cm,1,2K,7kg	<p>Pralni stroj ELECTROLUX EW6F527W 60cm,1,2K,7kg <div> <b> Šifra izdelka: avt144451 <br> Pralni stroj PerfectCare 600 s sistemom SensiCare prilagaja dolžino programa glede na količino perila. Tako porabi manj energije in vode ter preprečuje, da bi se per	NULL	EnaA \ Bela tehnika \ Pralni stroji \ Pralni stroji s sprednjim polnjenjem
98	pralni-stroj-beko-wmy61232mb3	NULL	Pralni stroj Beko WMY61232MB3	NULL	NULL	EnaA \ Bela tehnika \ Pralni stroji \ Pralni stroji s sprednjim polnjenjem
98	pralni-stroj-beko-wmy71483lmb2	NULL	Pralni stroj Beko WMY71483LMB2	NULL	NULL	EnaA \ Bela tehnika \ Pralni stroji \ Pralni stroji s sprednjim polnjenjem
98	pralni-stroj-beko-wmy71443lb2	NULL	Pralni stroj Beko WMY71443LB2	NULL	NULL	EnaA \ Bela tehnika \ Pralni stroji \ Pralni stroji s sprednjim polnjenjem
98	pralni-stroj-beko-wtv9734xs0	NULL	Pralni stroj Beko WTV9734XS0	NULL	NULL	EnaA \ Bela tehnika \ Pralni stroji \ Pralni stroji s sprednjim polnjenjem
98	pralni-stroj-grundig-gwn48440c	NULL	Pralni stroj Grundig GWN48440C	NULL	NULL	EnaA \ Bela tehnika \ Pralni stroji \ Pralni stroji s sprednjim polnjenjem
98	pralni-stroj-beko-wte6611b0	NULL	Pralni stroj Beko WTE6611B0	NULL	NULL	EnaA \ Bela tehnika \ Pralni stroji \ Pralni stroji s sprednjim polnjenjem
98	pralni-stroj-beko-wtv7634xs0	NULL	Pralni stroj Beko WTV7634XS0	NULL	NULL	EnaA \ Bela tehnika \ Pralni stroji \ Pralni stroji s sprednjim polnjenjem
98	pralni-stroj-bosch-wab24262by	NULL	Pralni stroj Bosch WAB24262BY	NULL	NULL	EnaA \ Bela tehnika \ Pralni stroji \ Pralni stroji s sprednjim polnjenjem
98	pralni-stroj-bosch-wat24460by	NULL	Pralni stroj Bosch WAT24460BY	NULL	NULL	EnaA \ Bela tehnika \ Pralni stroji \ Pralni stroji s sprednjim polnjenjem
98	pralni-stroj-bosch-wlt24440by	NULL	Pralni stroj Bosch WLT24440BY	NULL	NULL	EnaA \ Bela tehnika \ Pralni stroji \ Pralni stroji s sprednjim polnjenjem
98	pralni-stroj-bosch-wan28261by	NULL	Pralni stroj Bosch WAN28261BY	NULL	NULL	EnaA \ Bela tehnika \ Pralni stroji \ Pralni stroji s sprednjim polnjenjem
98	pralni-stroj-bosch-wat28411	NULL	Pralni stroj Bosch WAT28411	NULL	NULL	EnaA \ Bela tehnika \ Pralni stroji \ Pralni stroji s sprednjim polnjenjem
