idProduct	idSeller	idSellerProduct
888053	41	33617
992014	41	48415
1267990	41	52410
1293159	41	52219
1521783	41	52036
1125806	41	28946
985724	41	53677
1273071	41	53675
1402699	41	53403
1273050	41	52205
1760663	41	51823
1287382	41	51997
2658825	41	51284
1259041	41	54929
2283414	41	52058
2267470	41	51844
991857	41	34870
800174	41	32380
991665	41	34867
1356367	41	53866
1287908	41	53026
1270595	41	52417
1273070	41	52413
1773689	41	52157
2173127	41	52008
1288586	41	51999
1273858	41	52478
566275	41	27903
1263594	41	51290
1778558	41	51525
1273047	41	51633
1268095	41	52309
821936	41	32997
1262753	41	51820
1260732	41	52076
1544855	41	53090
1309241	41	54904
2819544	53	15381
2891009	53	15384
3108772	53	15373
2877454	53	15376
2858056	53	15379
2891010	53	15383
2677810	53	1
3449343	53	14063
3449344	53	14064
2088513	53	14065
3088477	53	14062
2891008	53	15385
2891016	53	15386
3108769	53	16965
2887082	53	16969
2781119	53	16968
2953143	53	2286
2806863	53	1946
3159310	53	27961
2834658	53	1941
2824343	53	1622
3423718	53	26483
3442697	53	26656
3439721	53	26739
3443512	53	27083
2858049	53	15382
2888559	53	15387
3108770	53	16966
2825447	53	1949
2781118	53	15377
2858047	53	15380
2807550	53	307
3398644	53	25481
3423713	53	26485
3559684	53	26649
3436325	53	26910
3443513	53	27080
3760261	53	28026
3262493	53	18247
3423714	53	26484
3438855	53	26693
3423710	53	27055
3450511	53	27056
3443511	53	27104
3463660	53	27266
3556576	53	27737
3443435	53	27089
3443444	53	27106
3443442	53	27109
3423699	53	27268
3398647	53	25482
3614451	53	25479
3438856	53	26695
3443440	53	27087
3423719	53	26481
3614449	53	26487
3423716	53	26590
3438852	53	26970
3468020	53	32167
3903199	53	32238
4096330	53	34094
2911448	53	304
3486043	53	32109
4110150	53	33369
4046236	53	33492
4039686	53	32296
3981968	53	32390
2958100	53	1953
3443519	53	27079
4099373	53	34994
3438851	53	25998
3415386	53	26173
3423712	53	26486
3403508	53	26545
3423703	53	26650
3443437	53	27088
4096332	53	37016
3605752	53	37524
3566016	53	28025
3742146	53	30724
3704904	53	32110
4046235	53	34594
4122819	53	38909
4096331	53	35150
4095223	53	35148
3468022	53	32166
4110146	53	33992
2453775	53	417
4105724	53	40007
4039687	53	32295
4122817	53	33865
2164446	53	424
2801943	53	434
2872400	53	4220
1688231	53	4831
3581336	53	28392
3981966	53	32391
2834078	53	5184
2879345	53	5194
3756154	53	5355
2872404	53	5198
2851334	53	5185
1162015	53	4837
2888560	53	4935
2888558	53	4936
3013387	53	4797
3013386	53	4798
3424793	53	26971
3108773	53	15374
3108771	53	15378
3443443	53	27107
3083330	53	7159
2872410	53	5182
2884081	53	5189
1588642	53	8944
2941407	53	5187
2872876	53	5197
3083331	53	7330
3423709	53	26643
3450630	53	26591
2815531	53	306
4105983	53	35149
3472332	53	32111
3443440	71	led-tv-lg-32ln5758-32ln5758
2834657	71	led-tv-philips-47pfl4007h12-47pfl4007h12
2802789	71	led-tv-samsung-26eh4500-ue26eh4500wxxh
2802795	71	led-tv-samsung-32es6710-bel-ue32es6710sxxh
3423714	71	led-tv-samsung-32f4500-ue32f4500awxxh
3442697	71	led-tv-samsung-40f6500-ue40f6500sbxxh
3423720	71	led-tv-samsung-46f5000-ue46f5000awxxh
3497347	53	34042
