idProduct	idSeller	idSellerProduct
1041787	53	21420
1950268	53	21423
2233471	53	21426
1795842	53	21785
2591317	53	31926
1060264	53	22678
1154373	53	21421
3339103	53	27591
3108944	53	27723
2233472	53	21425
3114491	53	21787
3339104	53	27590
3564872	53	31925
2830454	53	23653
2233469	53	21428
1434983	53	21415
3353943	53	27722
3037551	53	21788
3351070	53	23655
3098518	53	18142
3447644	53	27720
3180276	53	26110
1951086	53	21430
3450334	53	35432
3650398	53	35434
3486045	53	35506
3098516	53	16002
3142249	53	17155
3099404	53	15034
3165881	53	12553
3098519	53	11255
2233470	53	21427
974057	53	21422
2121770	53	27726
3351072	53	23657
1030882	53	5674
561732	53	5680
1496009	53	5687
1588875	53	5689
1588874	53	5690
1616200	53	5691
3351067	53	23651
3180275	53	26114
3018085	53	2507
1130564	53	5678
2740924	53	5694
498808	53	27725
3351068	53	23652
2722322	53	29645
3464178	53	27589
2233467	53	21431
3597638	53	21432
2221326	53	6435
2890983	53	6445
2888737	53	5679
2407664	53	6759
2106072	53	6760
2718169	53	5684
2856495	53	21783
1952983	53	7064
2436416	53	7058
2876013	53	5672
2121768	53	5685
3285493	53	26267
3108953	53	30620
3108952	53	27717
3108945	53	30622
2658533	53	5277
2584152	53	5281
2588567	53	5283
3037470	53	5275
3080248	53	12552
800159	53	5670
2872040	53	5677
2221327	53	6434
3566049	53	31922
3436587	53	35831
2150282	53	6436
2565324	53	726
577451	53	7056
2421933	53	5470
3599656	53	5471
578871	53	5673
2395601	53	6097
2615660	53	5682
2835108	53	597
2920804	53	6095
1042215	54	204349
2222165	53	6437
2222163	53	6438
1317415	53	6763
2106067	53	6762
2121769	53	5683
1496031	53	5688
1588872	53	5692
2718166	53	5693
1412039	53	6761
1620325	53	7062
1737353	53	7059
2097475	53	7063
2521822	53	780
2652739	53	5285
1496019	53	5686
2397815	53	6096
1689668	53	7054
2264254	53	7065
3142254	53	17154
2233468	53	21429
2216197	53	781
1034179	54	204587
681422	54	198160
2404559	54	205972
3123862	101	pralni-stroj-ewt1366hdw-top-loader-electrolux
1545939	101	pralni-stroj-f1443kd-pralni-stroj-lg-11kg
2872040	101	pralni-stroj-wab24260by-pralni-stroj-bosch
1952983	101	pralni-stroj-dst10146pg-hoover
3285493	101	pralni-stroj-dyns8126pg8-hoover
2233471	101	pralni-stroj-evo1283dw-candy
1038963	101	pralni-stroj-go148df-pralni-stroj-candy--o
1588872	101	pralni-stroj-was32798me-bosch
2222165	101	pralni-stroj-wm14s795me-pralni-stroj-siemens
3433789	101	pralni-stroj-wmb71444pthla-beko
2421933	101	pralni-stroj-l98699fl-pralni-stroj-aeg--tnc
3215127	101	pralni-stroj-w3371wcs-miele-edition-111
2865635	101	pralni-stroj-awoc-61200-whirlpool
2834322	101	pralni-stroj-w1904wps-pralni-stroj-miele--ecoactive
2724116	101	pralni-stroj-w5825wps-pralni-stroj-miele--o
3142254	101	pralni-stroj-w7443lb-crn-gorenje
3098516	101	pralni-stroj-w8644h-pralni-stroj-gorenje
1496019	101	pralni-stroj-waq2446kby-pralni-stroj-bosch
3147953	101	pralni-stroj-dysm8134d-top-loader-hoover
3335785	101	pralni-stroj-evo1273d3-candy
3118461	101	pralni-stroj-ewt1567vdw-tl-pralni-st-electrolux--tnc
1506850	101	pralni-stroj-awe6616-whirlpool
2264254	101	pralni-stroj-dst10166pg-hoover
1620325	101	pralni-stroj-dyn9166pg-hoover
3569802	101	pralni-stroj-iwte51251ecoeu-pralni-indesit
3436587	101	pralni-stroj-l76475fle-aeg
3142249	101	pralni-stroj-w7443lr-pralni-gorenje
3080248	101	pralni-stroj-wa743w-gorenje-one
2718169	101	168654
2121769	101	pralni-stroj-wae24465by-pralni-stroj-bosch--o
2221327	101	pralni-stroj-wm12e365by-pralni-stroj-siemens
2221326	101	pralni-stroj-wm14e465by-pralni-stroj-siemens
3037551	101	pralni-stroj-evogt14072d-pralni-tl-candy--z
2890983	101	pralni-stroj-wm16y890eu-pralni-stroj-siemens
2436416	101	pralni-stroj-dyn7144dp-hoover
1588874	101	pralni-stroj-was24468me-bosch
2740924	101	pralni-stroj-way32890eu-bosch
3351112	101	pralni-stroj-wmb71643ptl-beko
3585612	101	pralni-stroj-w729-pralni-stroj-gorenje-ekskluziva
2722322	101	pralni-stroj-w7423-gorenje
674765	101	pralni-stroj-wa72145bk-pralni-stroj-gorenje
3353943	101	pralni-stroj-wae28445-pralni-stroj-bosch
2121768	101	pralni-stroj-wae28465by-pralni-stroj-bosch--z
1837711	101	pralni-stroj-awe8629-whirlpool
2856495	101	pralni-stroj-evo1472d-candy
3118452	101	pralni-stroj-ewp1462tdw-electrolux
3016619	101	pralni-stroj-l60270fl-pralni-stroj-aeg--tnc
3562008	101	pralni-stroj-dyn9144dpm-hoover
1041787	101	pralni-stroj-go4106df-pralni-stroj-candy
3461080	101	pralni-stroj-na148vg4wgn-panasonic
3600949	101	pralni-stroj-w5873wps-miele-edition-111
1317415	101	pralni-stroj-ews126540w-pralni-stroj-electrolux
3098518	101	pralni-stroj-w8844i-gorenje
3262225	101	pralni-stroj-wae20365by-pralni-stroj-bosch--z
3108944	101	pralni-stroj-waq2447kby-bosch
