id,left_idProduct,left_idSeller,left_idSellerProduct,left_brandSeller,left_nameSeller,left_descriptionSeller,right_idProduct,right_idSeller,right_idSellerProduct,right_brandSeller,right_nameSeller,right_descriptionSeller,label
3540,9445496,440,874410,samsung,samsung pralni stroj ww90m741noale a 9 kg 1400 obrmin,tehnične podrobnosti zmogljivost pranja9 kg energijski razreda 40 vrsta pralnega strojapolnjenje spredaj učinek pranjaa učinek ožemanjaa poraba električne energije 220 pranj130 kwh letna poraba vode9400 l hitrost ože,9445496,1780,7692,,pralni stroj samsung quickdrive ww90m741noale,prepolovite čas pranja quickdrive™ skrajša čas pranja 50 porabo energije 20 učinkovitosti pranja edinstveno oblikovan qdrum™ boben sestavljen glavnega bobna plošč,1
6444,8735109,338,720720,aeg,aeg l6fbi27w pralni stroj,,8896368,98,pralnistrojelectroluxew6f421b,,pralni stroj electrolux ew6f421b,pralni stroj electrolux ew6f421b šifra izdelka ex7332543578887 pralni stroj omogoča nežno ekonomično pranje perila sistemom sensicare prilagaja dolžino pranja glede količino perila porabi manj vode energije,0
3099,8844279,342,1093986,electrolux,electrolux pralni stroj ew6f408wu,electrolux pralni stroj ew6f408wu energijskega razreda a ima zmogljivost pranja 8 kg hitrost ožemanja doseže 1000 obrmin,8844279,1006,5236,electrolux,pralni stroj electrolux ew6f408wu,,1
2849,8692339,98,pralnistrojelectroluxew6f448bu,,pralni stroj electrolux ew6f448bu,,8692339,1034,131801,electrolux,pralni stroj electrolux ew6f448bu,,1
4103,9651011,107,70156,electrolux,electrolux pralni stroj ew6f528w,pralni stroj electrolux ew6f528w fuzzy logic prilagajanje pranja glede vrsto količino perilaprilagajanje porabe vode glede vrsto količino perila stroj porabi manj vode manj perila več vode več perila posledično električne energije segrevanje vode poteka krajši čas posebnosti ožemanjepodatek številu vrtljajev ožemanja pove hitrostjo obrača boben končanem pranju število vrtljajev 1400 vrtminin odvisno perilo koncu ožeto nastavitev zamika vklopavklop stroja lahko zamaknemo ur vnaprej timer tih invertni elektromotorinvertni elektromotor omogoča tiho delovanje nima vgrajenih krtačk povzročajo piskajoč zvok motorja pralnega stroja potrebuje vzdrževanja krtačke izrabiti nima pozicioniranje bobnapri strojih zgornjim polnjenjem poznamo bobna položaj vrata bobna obrnjena navzgor odprtini stroja strojih nimajo pozicioniranje bobna potrebno končanem pranju odpreti vrata stroja roke obrniti boben stroja vrati navzgor obračanje bobna rokami težavno boben stroja pol mokrega perila varovanje dotočne cevi izlitju vodedvojna cev preprečuje izliv vode primeru prišlo poškodbe dotočne cevi,9651011,1006,5847,electrolux,pralni stroj electrolux ew6f528w,,1
1756,5452976,862,583712,bosch,wan24261by pralni stroj bosch,,5452976,1220,9439,bosch,bosch pralni stroj wan24261by,moč poraba zmogljivost pranja 1 7 kg energijski razred a lestvici energijskih razredov a d 10 varčnejši 157 kwhletno standardne vrednosti 174 kwhletno energijski razred a kategoriji 7 kg skladu delegirano uredbo komisije eu št 10612010 poraba energije 157 kwh letno ocena porabe temelji 220 standardnih ciklih pranja programu bombaž 60°c 40°c polni delni polnitvi načinu delovanja nizko porabo energije dejanska poraba energije odvisna načina uporabe aparata poraba energije standardnem programu bombaž 60°c polni polnitvi 084 kwh delni polnitvi 068 kwh standardnem programu bombaž 40°c delni polnitvi 051 kwh tehtana poraba energije izključen vključen 012 w 05 w poraba vode 9020 litrov letno ocena porabe temelji 220 standardnih ciklih pranja programih bombaž 60°c 40°c polni delni polnitvi razred učinkovitosti ožemanja b najvišja hitrost ožemanja 1200 omin preostala vlaga 55 navedba programa bombaž 60°c eco bombaž eco 40°c standardna programa pranja nanašajo podatki energijski nalepki podatkovni kartici programa primerna pranje običajno umazanega bombažnega perila najbolj učinkovita programa glede kombinirano porabo energije vode trajanje standardnega programa bombaž 60°c polni polnitvi 200 min delni polnitvi 200 min standardnem programu bombaž 40°c delni polnitvi 200 min glasnost standardnem programu bombaž 60°c polni polnitvi 54 db a re 1pw glasnost ožemanja standardnem programu bombaž 60°c polni polnitvi 74 db a re 1pw volumen bobna 55 l programi posebni programi puh temno perilo srajcebluze sportfitness zavese hitromešano alergije plus ekstra kratek 3015 čiščenje bobna opomnikom izpiranjeožemanjeizčrpati volnaročno pranje finosvila funkcije varioperfect časovno energijsko optimirani programi odličnimi rezultati pranja touchcontrol tipke predpranje dodatno izpiranje končano temperatura startpavza dodajanje perila ecoperfect speedperfect vrtljaji ožemanjaizklop ožemanja funkcija dodajanja perila funkcija dodajanja perila omogoča dodajanje perila zagonu programa pranja udobje varnost večkratna zaščita izlivom vode velik zaslon prikaz stanja programa izbor temperature število vrtljajev ožemanja preostalega časa 24 časovnega zamika priporočene obremenitve popolnoma elektronsko upravljanje programov gumbom 3daquasparsistem fuzzy količinska avtomatika ecosilence drive tiho delovanje motorja zelo dolgo življenjsko dobo 10 let jamstva inverter motor antivibration design tišji stabilnejši stroj sistem zaznavanje pene kontrola neuravnoteženosti stroja prikaz predoziranja zvočni signal koncu programa zaklepanje nastavitev otroci vstavek tekoči detergent 30 cm odprtina vrat odpiranja 180 ° kovinska kljuka vratih udobno zaklepanje tehnične informacije možnost podvgradnje dimenzije aparata x š x g 848 x 598 x 55 cm,1
8576,4054519,433,135976,,bosch wlg 24260 by,produktne lastnosti moč poraba energijski razred a poraba energije 131 kwh letno ocena porabe temelji 220 standardnih ciklih pranja programu bombaž 60 stopinj c 40 stopinj c polni delni polnitvi načinu delovanja nizko porabo energije dejanska poraba energije odvisna načina uporabe aparata poraba energije standardnem programu bombaž 60 stopinj c polni polnitvi 061 kwh delni polnitvi 06 kwh standardnem programu bombaž 40 stopinj c delni polnitvi 046 kwh tehtana poraba energije izključen vključen 013 w 16 w poraba vode 8800 litrov letno ocena porabe temelji 220 standardnih ciklih pranja programih bombaž 60 stopinj c 40 stopinj c polni delni polnitvi razred učinkovitosti ožemanja c najvišja hitrost ožemanja 1200 omin preostala vlaga 60 navedba programa bombaž 60 stopinj c gumb ecoperfect bombaž 40 stopinj c gumb ecoperfect standardna programa pranja nanašajo podatki energijski nalepki podatkovni kartici programa primerna pranje običajno umazanega bombažnega perila najbolj učinkovita programa glede kombinirano porabo energije vode trajanje standardnega programa bombaž 60 stopinj c polni polnitvi 235 min delni polnitvi 235 min standardnem programu bombaž 40 stopinj c delni polnitvi 150 min glasnost standardnem programu bombaž 60 stopinj c polni polnitvi 58 db a re 1pw glasnost ožemanja standardnem programu bombaž 60 stopinj c polni polnitvi 85 db a re 1pw zmogljivost pranja 1 5 kg volumen bobna 35 l programi posebni programi ekstra kratek 3015 alergije plus sportfitness srajcebluze fino damsko perilo volnaročno pranje finosvila funkcije varioperfect časovno energijsko optimirani programi odličnimi rezultati pranja tipke startpavza dodajanje perila voda plus ecoperfect speedperfect vrtljaji ožemanjaizklop ožemanja udobje varnost večkratna zaščita izlivom vode velik displej prikaz poteka programa temperature število vrtljajev prikaz preostalega časa zakasnitev vklopa 24 popolnoma elektronsko upravljanje programov gumbom 3daquasparsistem količinska avtomatika sistem zaznavanje pene kontrola neuravnoteženosti stroja zvočni signal koncu programa zaklepanje nastavitev otroci 30 cm odprtina vrat odpiranja 165 stopinj kovinska kljuka vratih tehnične informacije dimenzije aparata x š x g 85 x 60 x 40 cm možnost podvgradnje garancija 2 leti možnost podaljšanja garancije 5 let,5535895,107,55052,bosch,bosch pralni stroj wan20260by,letna poraba el energijeletna poraba električne energije temelji 220 standardnih ciklih pranjaletna poraba vodeletna poraba vode temelji 220 standardnih ciklih pranjaožemanjepodatek številu vrtljajev ožemanja pove hitrostjo obrača boben končanem pranju število vrtljajev 1000 vrtmin odvisno perilo koncu ožetofuzzy logic prilagajanje pranja glede vrsto količino perilaprilagajanje porabe vode glede vrsto količino perila stroj porabi manj vode manj perila več vode več perila posledično električne energije segrevanje vode poteka krajši časnastavitev zamika vklopavklop stroja lahko zamaknemo ur vnaprej timer tih invertni elektromotorinvertni elektromotor omogoča tiho delovanje nima vgrajenih krtačk povzročajo piskajoč zvok motorja pralnega stroja potrebuje vzdrževanja krtačke izrabiti nimavarovanje dotočne cevi izlitju vodedvojna cev preprečuje izliv vode primeru prišlo poškodbe dotočne cevi,0
8227,5703201,342,1306294,electrolux,electrolux pralni stroj ewt1066esw,electrolux pralni stroj zgornjim polnjenjem ewt1066esw ponaša zmogljivostjo pranja 6 kg uvršča energijski razred a prinaša številne programe pranja omogoča zamik vklopa,6926923,342,886874,whirlpool,whirlpool pralni stroj tdlr 70220,pralni stroj zgornjim polnjenjem whirlpool tdlr 70220 sodi energijski razred a ima zmogljivost 7 kg ponuja izbiro 14 programi pranja zaznamuje funkcija freshcare ohranjanje svežine,0
9968,5452976,1146,1421311700,bosch,pralni stroj bosch wan24261by,,11256568,1220,38810,vox,vox pralni stroj wm 1062y slim,vox pralni stroj wm 1062y slim uvršča energijski razred a odlikuje zmogljivost pranja 6 kg ožemanju doseže hitrost 1000 obratov minuto izbirali lahko velikim številom programov prinaša širok izbor dodatnih funkcij lažjo bolj praktično uporabo poskrbela funkcija zamik vklopa čas pranja popolnoma prilagodili željam vox pralni stroj ponuja možnost izbire hitrega programa oblačila opral 15 minutah ponuja možnost hladnega pranja ima antialergijski program energijski razred a zmogljivost pranja 6 kg hitrost centrifuge 1000 vrtmin število programov 15 regulacija hitrosti vrtenja omin 6008001000 regulacija temperature °c 2030406090 zakasnitev vklopa delovanja antialergijski program grelec niklja zaščita prelitjem zaščita otroke poraba energije letno 151 kwh poraba vode letno 9900 l glasnost pranje 58 db glasnost ožemanje 77 db dimenzije vxšxg 845 x 597 x 416 cm garancija 5 let,0
2336,7420158,526,2923782,samsung,pralni stroj samsung ww 80k44305wle,pralni stroj kapaciteto pranja 8 kg led prikazovalnik keramični grelec otroška ključavnica diamantni boben ščiti perilo poškodbami čipke svila najlonke,7420158,1230,6554,samsung,pralni stroj samsung ww80k44305wle,pozabili srajco pralni stroj samsung ww80k44305wle add wash omogoča hitro enostavno dodajanje perila pranje poteka enostavno dodajanje ročno opranega p,1
