id,idSeller,idSellerProduct,nameSeller,idProduct
0,101,tv-sprejemniki-60uj6307-uhd-4k-led-tv-lg,Tv sprejemniki 60UJ6307 UHD 4K LED TV LG,8494089
1,152,178147,LG 70UK6500 UHD LED TV,10413511
2,1274,5c3c89fb5d188a51bd3b415d,JVC LED TV LT-43VU63M,10882143
3,98,televizor-samsung-43nu7192-109-cm-43-4k-uhd-smart-tv,Televizor Samsung 43NU7192 109 cm (43) 4K UHD Smart TV,9650993
4,98,televizor-tcl-55dc760-139-cm-55-4k-uhd-android-tv-plus-darilo,Televizor TCL 55DC760 139 cm (55) 4K UHD Android TV + DARILO,10354107
5,152,181142,Panasonic TX-55GXW904 4K PRO HDR LED-TV DVB-T2/C/S2,12763592
6,561,55124,QLED TV SAMSUNG GQ65Q6FN,10137308
7,152,176399,"LG 65UK6100 UHD TV HDR, webOS 3.5, DVB-T2/C/S2",9435822
8,198,57249,(QE55Q70RATXXH) (145185),12424612
9,198,54545,(FWL-55W805C) (129096),7418736
10,342,1339673,Samsung TV sprejemnik QE75Q70R,12588080
11,342,1339658,Samsung TV sprejemnik QE55Q80R,12588069
12,152,173035,"LG 60UJ651V UHD FLAT LED LCD HD Triple Tuner (DVB-C/T2/S2)  4K, HDR Pro, webOS 3.5",8869614
13,561,30837,QLED TV SAMSUNG QE49Q6FN,9678499
14,1335,609705,Toshiba 49L2863DG FullHD SMART LED Televizor,10743307
15,1146,142-1564129,TV sprejemnik SONY KD55XF9005B,10859646
16,483,7532,HITACHI 65HZW66 (65HZW66),6608801
17,342,1233587,Philips TV sprejemnik 24PFS5703/12,9608687
18,342,1210969,Panasonic TV sprejemnik TX-32FS403E,9593407
19,198,57706,(UE82NU8002TXXH) (140305),9969073
20,1335,584035,LG 22TK410V-PZ FullHD LED Televizor-Monitor,10100537
21,1169,934,LED TV PANASONIC TX-65CXW804,5263555
22,1335,613046,Hyundai HLR32T350 SMART Wifi ready LED Televizor,10986113
23,98,televizor-vox-32ads314b-81cm-32-smart-wifi-android-tv,Televizor VOX 32ADS314B 81cm (32) Smart WiFi Android TV,11083089
24,292,190043,"LED TV Full HD SONY KDL-49WE665B / 123 cm (49"")",8175944
25,1220,38192,PHILIPS TV 24PFS5231/12,7321729
26,152,177290,Samsung QE75Q9FNATXZG Flat QLED UHD TV,11004324
27,342,1036253,Philips 4k TV sprejemnik 65PUS6162/12,8595018
28,1169,881,LED TV SAMSUNG UE40JU6750 Ultra HD 4K,4868099
29,1353,73914,Full HD TV sprejemnik SONY KDL-49WD755B 123 cm (49&quot;),6584712
30,101,tv-sprejemniki-32phs450312-philips,Tv sprejemniki 32PHS4503/12 PHILIPS,9868783
31,1335,624870,"Strong 24HZ4003NW HD LED Televizor, bel",11364226
32,562,SA UE65MU6272UXXH,LED TV SAMSUNG 65MU6272 (UE65MU6272UXXH),8638328
33,292,195558,LED 4K UHD Smart TV VOX 55DSW400U / 140 cm diagonala,10051272
34,114,18326026,LCD TV SAMSUNG 32N4002,9873734
35,1146,142-1564112,TV sprejemnik SONY KD43XF7596B,10859639
36,152,176254,Panasonic TX-43FXW654S 4K HDR LED-TV silber,9631762
37,1335,620558,"Gogen TVF40P525T 40"" FullHD LED Televizor",11175863
38,342,1348400,Samsung TV sprejemnik UE65RU7372,12677399
39,152,175777,Grundig 43 VLE 5723 BN Full HD LED TV,9371171
40,101,tv-sprejemniki-kd49xg8096baep-sony,Tv sprejemniki KD49XG8096BAEP SONY,12881828
41,41,52410,LCD TV sprejemnik LG 37LE5500 37&amp;quot; 94 cm LED Slim Full HD,1267990
42,114,18439771,LCD TV SHARP LC-60UI9362E,10757773
43,114,18266001,LCD TV TCL 43DP640,10227038
44,114,18131173,LCD TV TCL U55X9006,9098743
45,1169,8615,LED TV SAMSUNG UE55J5550 Full HD. 400PQI,5052944
46,1169,916,LED TV LG 55LF6309 Full HD. 600 PMI,5077116
47,152,169053,Samsung QE55Q8CAMTXZG Curved QLED TV Smart TV,8274013
48,483,1857,SHARP LC-22DS240 (LC-22DS240),3441506
49,1169,834,LED TV SAMSUNG UE48JU6480 Ultra HD 4K,4868101
50,1241,9156,"Televizor LED TV 55"" LG 55UH615 UHD Smart",7167720
51,41,53866,LCD TV sprejemnik Philips 26PFL3405H 26&amp;quot; 66 cm LED,1356367
52,152,177305,Samsung UE55NU7400UXZG Flat UHD TV,9576816
53,1146,142-1566492,TV sprejemnik SAMSUNG UE65NU8002,10945879
54,1335,626104,JVC LT-43VU63L UHD SMART Bluetooth LED Televizor,12429016
55,101,tv-sprejemniki-50pft420312-philips,Tv sprejemniki 50PFT4203/12 PHILIPS,11048686
56,1169,468,LED TV SAMSUNG UE65HU7500 UHD 4K,4140660
57,1561,27922,"TV sprejemnik NOA VISION UHD N55LUSB SMART 55""",10772249
58,1252,21899, TV sprejemnik NOA VISION FHD N43LFSB SMART 43&quot;,12662629
59,342,1049766,Sony TV sprejemnik KDL-40WE665,8160612
60,1335,589474,Hitachi 32HE4000 32 LED FHD Smart Televizor,10156521
61,562,SA UE49MU6272UXXH,LED TV SAMSUNG 49MU6272 (UE49MU6272UXXH),9196246
62,198,56224,"Prikazovalnik Samsung Flip All-In-One Touch, 55"", 3840x2160, HDMI, 2x USB, RS232, RJ-45, WiFi (LH55WMHPTWC/EN) (143445)",9637379
63,152,179932,Sharp LC-40FI3012E Full HD LED Smart TV DVB-T2/C/S2,11086463
64,152,173542,LG 32LJ590U HD FLAT LED LCD Triple Tuner (DVB-C/T2/S2) Web OS 3.5,8446983
65,1146,142-1564117,TV sprejemnik SONY KD49XF7096B,10859640
66,41,52478,LCD TV sprejemnik LG 22LD350 22&amp;quot; 56 cm,1273858
67,1780,7937,"TV sprejemnik Samsung UE75NU7172 Smart 4K UHD + Sistem za domači kino Samsung HW-N550 340 W 3,1-kanalni",11361462
68,1146,142-1566767,TV sprejemnik SAMSUNG QE65Q9FN,11138490
69,342,1339663,Samsung TV sprejemnik QE82Q60R,12588072
70,1335,579814,TOSHIBA 43V5863DG UHD SMART HDR LED Televizor,10176208
71,138,TV560,KD-65XG9505B 4K HDR TV,11350427
72,342,1276104,"VOX electronics 4K UHD LED TV sprejemnik 50DSW400U, Smart TV",9957835
73,342,1243179,Sony TV-sprejemnik KD-43XF7077,10194408
74,342,1326248,Manta LED TV-sprejemnik 43LUA29L,11085953
75,1169,910,LED TV SAMSUNG UE60J6250 Full HD. 600PQI,5070152
76,1335,591341,"Metz 55G2A51B 55"" UHD Android SMART LED Televizor",10219791
77,114,18131129,LCD TV TCL U49P6006,9418677
78,152,177951,Panasonic TX-24FSW504 Smart LED LCD TV SMART QUATTRO,10152838
79,1146,142-1574448,TV sprejemnik LG 43UK6950PLB,9577229
80,152,181147,Panasonic TX-39FW334 Full HD LED-TV DVB-T2/C/S2,12763594
81,1169,8609,LED TV SAMSUNG UE40JU6450 Ultra HD.3D,5121403
82,292,183327,LED TV Sony KDL32WE610 / 81 cm diagonala,8236814
83,1146,142-1578736,TV sprejemnik HISENSE H50A6140,10859610
84,101,tv-sprejemniki-22pfs540312-12v-philips,Tv sprejemniki 22PFS5403/12 (12V) PHILIPS,9577242
85,342,1272095,Philips 4K TV sprejemnik 55PUS7363 Android,10164321
86,98,televizor-manta-led24lfn38l-61-cm-24-hd-tv,Televizor Manta LED24LFN38L 61 cm (24'') HD TV,9636235
87,1335,561221,Sencor SLE 40F14TCS FullHD LED TV,9601728
88,562,SA UE55M6372AUXXH,LED TV SAMSUNG 55M6372 (UE55M6372AUXXH),8370414
89,1780,8184,TV sprejemnik Tesla 32T319BH,12616183
90,342,1348287,Samsung TV sprejemnik UE49RU7372,12677397
91,152,175848,Sharp LC-55CUG8062E UHD LED LCD Smart TV,9319559
92,114,18366291,LCD TV SAMSUNG 55NU7023,10591709
93,198,57478,(43LK5900PLA.AEE) (143621),9577222
94,342,1178340,Sony TV sprejemnik KD-65XF8596,9602266
95,152,177291,Samsung QE65Q9FNATXZG Flat QLED UHD TV,9957065
96,152,181015,Samsung UE50RU7470SXXN Flat UHD TV DVB-T2/C/S2,12815198
97,1169,900,LED TV SAMSUNG UE65JU6450 4K,4901298
